transaction_id,date,product,category,region,quantity,unit_price,total_sales
1,2024-01-15,Laptop,Electronics,North,2,1200.00,2400.00
2,2024-01-16,T-Shirt,Clothing,South,5,25.00,125.00
3,2024-01-17,Coffee Maker,Home & Garden,East,1,89.99,89.99
4,2024-01-18,Smartphone,Electronics,West,3,800.00,2400.00
5,2024-01-19,Jeans,Clothing,North,4,60.00,240.00
6,2024-01-20,Blender,Home & Garden,South,2,45.50,91.00
7,2024-01-21,Tablet,Electronics,East,1,500.00,500.00
8,2024-01-22,Jacket,Clothing,West,3,120.00,360.00
9,2024-01-23,Lamp,Home & Garden,North,6,35.00,210.00
10,2024-01-24,Headphones,Electronics,South,4,150.00,600.00
11,2024-01-25,Sneakers,Clothing,East,2,85.00,170.00
12,2024-01-26,Toaster,Home & Garden,West,3,40.00,120.00
13,2024-01-27,Monitor,Electronics,North,1,350.00,350.00
14,2024-01-28,Dress,Clothing,South,2,75.00,150.00
15,2024-01-29,Vacuum,Home & Garden,East,1,200.00,200.00
16,2024-01-30,Camera,Electronics,West,2,600.00,1200.00
17,2024-02-01,Hoodie,Clothing,North,5,55.00,275.00
18,2024-02-02,Chair,Home & Garden,South,3,150.00,450.00
19,2024-02-03,Keyboard,Electronics,East,4,80.00,320.00
20,2024-02-04,Socks,Clothing,West,10,8.00,80.00
21,2024-02-05,Desk,Home & Garden,North,1,300.00,300.00
22,2024-02-06,Mouse,Electronics,South,5,30.00,150.00
23,2024-02-07,Scarf,Clothing,East,3,22.00,66.00
24,2024-02-08,Pillow,Home & Garden,West,4,25.00,100.00
25,2024-02-09,Speaker,Electronics,North,2,180.00,360.00
26,2024-02-10,Belt,Clothing,South,6,18.00,108.00
27,2024-02-11,Microwave,Home & Garden,East,1,120.00,120.00
28,2024-02-12,Laptop,Electronics,West,1,1200.00,1200.00
29,2024-02-13,Sweater,Clothing,North,3,65.00,195.00
30,2024-02-14,Rug,Home & Garden,South,2,90.00,180.00
31,2024-02-15,Smartphone,Electronics,East,2,800.00,1600.00
32,2024-02-16,Shorts,Clothing,West,4,35.00,140.00
33,2024-02-17,Fan,Home & Garden,North,3,50.00,150.00
34,2024-02-18,Tablet,Electronics,South,1,500.00,500.00
35,2024-02-19,Gloves,Clothing,East,8,15.00,120.00
36,2024-02-20,Bookshelf,Home & Garden,West,1,180.00,180.00
37,2024-02-21,Webcam,Electronics,North,3,75.00,225.00
38,2024-02-22,Shirt,Clothing,South,5,40.00,200.00
39,2024-02-23,Coffee Table,Home & Garden,East,1,220.00,220.00
40,2024-02-24,Printer,Electronics,West,1,250.00,250.00
41,2024-02-25,Boots,Clothing,North,2,110.00,220.00
42,2024-02-26,Plant Pot,Home & Garden,South,6,12.00,72.00
43,2024-02-27,Hard Drive,Electronics,East,4,100.00,400.00
44,2024-02-28,Cap,Clothing,West,7,20.00,140.00
45,2024-03-01,Sofa,Home & Garden,North,1,850.00,850.00
46,2024-03-02,Smart Watch,Electronics,South,2,300.00,600.00
47,2024-03-03,Leggings,Clothing,East,5,30.00,150.00
48,2024-03-04,Curtains,Home & Garden,West,3,45.00,135.00
49,2024-03-05,Router,Electronics,North,2,90.00,180.00
50,2024-03-06,Pajamas,Clothing,South,4,35.00,140.00
51,2024-03-07,Mirror,Home & Garden,East,2,75.00,150.00
52,2024-03-08,USB Cable,Electronics,West,10,8.00,80.00
53,2024-03-09,Backpack,Clothing,North,3,50.00,150.00
54,2024-03-10,Dining Table,Home & Garden,South,1,600.00,600.00
55,2024-03-11,Graphics Card,Electronics,East,1,450.00,450.00
56,2024-03-12,Sunglasses,Clothing,West,4,40.00,160.00
57,2024-03-13,Towel Set,Home & Garden,North,2,30.00,60.00
58,2024-03-14,Power Bank,Electronics,South,5,35.00,175.00
59,2024-03-15,Swimsuit,Clothing,East,3,45.00,135.00
60,2024-03-16,Clock,Home & Garden,West,4,28.00,112.00
61,2024-03-17,Laptop,Electronics,North,1,1200.00,1200.00
62,2024-03-18,Cardigan,Clothing,South,3,55.00,165.00
